Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 26, 2026",USD,US Glasses Strap SB Banner Ad Nov 2025,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Feb 26, 2026",USD,SB_BROAD_kids glasses strap_120525,Promoted,B0FCRLQG4B,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
"Feb 26, 2026",USD,US Strap SB Banner to Landing Page READY,Promoted,B0FD3PSJG3,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Feb 27, 2026",USD,SB_BROAD_glasses chain men_120525,Promoted,B0FCRLQG4B,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
"Feb 27, 2026",USD,SB_BROAD_reading glasses lanyard_120525,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Feb 27, 2026",USD,US Strap SB Banner to Landing Page READY,Promoted,B0FCRK9JCK,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
"Feb 28, 2026",USD,SB_BROAD_oakley_120525,Promoted,B0FCRCZ1HC,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
"Mar 1, 2026",USD,US Strap SB Banner to Store READY,Promoted,B0FCRCZ1HC,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
"Mar 1, 2026",USD,SB_BROAD_glasses retainer_120525,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 1, 2026",USD,US Strap SB Banner to Landing Page READY,Promoted,B0FD3PMPVC,$9.99,1,1,$9.99,1,1,100.00%,100.00%,100.00%,CPC,$9.99,1,1
"Mar 1, 2026",USD,SB_BROAD_silicone glasses strap_120525,Promoted,B0FCRLQG4B,$7.99,1,1,$7.99,1,1,100.00%,100.00%,100.00%,CPC,$7.99,1,1
