Date,Currency,Campaign Name,Attribution type,Purchased ASIN,"14 Day Total Sales ",14 Day Total Orders (#),14 Day Total Units (#),14 Day New-to-brand Sales,14 Day New-to-brand Orders (#),14 Day New-to-brand Units (#),14 Day % of Sales New-to-brand,14 Day % of Orders New-to-brand,14 Day % of Units New-to-brand,Cost type,14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Feb 18, 2026",USD,SB_BROAD_YELLOW PC CASE_MULTIKEYWORDS,Brand Halo,B0DHXG3QPM,$109.9,1,1,$109.9,1,1,100.00%,100.00%,100.00%,CPC,$109.9,1,1
"Feb 19, 2026",USD,SB_M5 PC Case_computer chassis_21_ERIC,Promoted,B0DF7RVRW2,$119.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$119.9,1,1
"Feb 19, 2026",USD,SB_computer case_$0.2_1227_115926,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 19, 2026",USD,SB_BROAD_B0DF7SBFMV-pc case tower,Promoted,B0DGFW5G2G,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 20, 2026",USD,SB_BROAD_B0DF7SBFMV-pc case tower,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 21, 2026",USD,SB_BROAD-gaming PC case with cable management,Promoted,B0DGFX3T34,$149.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$149.9,1,1
"Feb 21, 2026",USD,SB_premium pc case_$0.19_1227_115926,Promoted,B0DGFW4N61,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Feb 22, 2026",USD,SB_quiet pc case_$0.19_1227_115926,Promoted,B0DGLYNG22,$149.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$149.9,1,1
"Feb 23, 2026",USD,SB_lian li cpu cooler_$0.19_01021015,Promoted,B0DHXCYKR6,$109.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$109.9,1,1
"Feb 25, 2026",USD,SB_M5 PC Case_computer case_21_ERIC,Promoted,B0G1MF7Q2S,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 26, 2026",USD,SB_BROAD-B0DGFS7QTL_Compact M5 PC tower,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 26, 2026",USD,SB_M5_pc parts case_21,Brand Halo,B0CHR85N54,$19.9,1,1,$19.9,1,1,100.00%,100.00%,100.00%,CPC,$19.9,1,1
"Feb 26, 2026",USD,SB_M5_pc parts case_21,Promoted,B0DGFX3T34,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Feb 27, 2026",USD,SB_cable management pc case_ASIN3_$0.2_1227_115926,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 27, 2026",USD,SB_BROAD_B0DGFX3T34_full tower case,Promoted,B0DGFW4N61,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Feb 28, 2026",USD,SB_M5 PC Case_pc case_19_ERIC,Promoted,B0DF7RVRW2,$119.9,1,1,$119.9,1,1,100.00%,100.00%,100.00%,CPC,$119.9,1,1
"Feb 28, 2026",USD,SB-BROAD_PC CASE_WHITE_gaming pc case,Promoted,B0DGFW5G2G,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Feb 28, 2026",USD,SB_gaming tower_ASIN3_$0.21_1227_115926,Promoted,B0DGFW4N61,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Mar 4, 2026",USD,SB_BROAD_YELLOW PC CASE_MULTIKEYWORDS,Promoted,B0DGFX3T34,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Mar 4, 2026",USD,SB_M5 PC Case_pc case with aluminum body_21_ERIC,Promoted,B0G1MF7Q2S,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Mar 4, 2026",USD,SB_BROAD_YELLOW PC CASE_MULTIKEYWORDS,Brand Halo,B0DHX99JLW,$79.9,1,1,$0.0,0,0,0.00%,0.00%,0.00%,CPC,$79.9,1,1
"Mar 4, 2026",USD,SB_BROAD_B0DGFS7QTL_liquid cooling full tower pc case,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Mar 4, 2026",USD,SB_tg pc case_$0.19_12311109,Promoted,B0DGFW4N61,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
"Mar 6, 2026",USD,SB_BROAD-B0DGFS7QTL_Compact M5 PC tower,Promoted,B0DGFS7QTL,$159.9,1,1,$159.9,1,1,100.00%,100.00%,100.00%,CPC,$159.9,1,1
"Mar 6, 2026",USD,SB_mid atx case_ASIN4_$0.2_1227_115926,Brand Halo,B0B3XFZN7C,$0.0,1,1,$0.0,0,0,,0.00%,0.00%,CPC,$0.0,1,1
"Mar 7, 2026",USD,SB_BROAD_B0DGFX3T34_full tower case,Promoted,B0DGFW4N61,$149.9,1,1,$149.9,1,1,100.00%,100.00%,100.00%,CPC,$149.9,1,1
