Parent ASIN,ASIN,SKU,Title,Short Name,Selling Price,Production Cost,Freight Cost,Fulfillment Fee,Expected Fulfillment Fee,Referral Percent,Active,Payout,Profit,ROI,Margin,Recoverable VAT on Fees,Break Even Price,Stock In Production,Stock Inbound,Inbound to 3PL,Inbound to AWD,3PL to FBA,AWD to FBA,Stock In 3PL,Stock In Inventory,Stock In Transfer,Stock in AWD,Production LeadTime,Freight LeadTime,Package Length (Inch),Package Width (Inch),Package Height (Inch),Package Weight (LB),Carton Length (Inch),Carton Width (Inch),Carton Height (Inch),Carton Weight (LB),Units Per Carton
B0824GK8BP,B0824GK8BP,K5-JSC0-HUPB,"Brain Tea Focus & Memory - Brain Tea Organic Certified 4-in-1 Nootropic Herbal Supplement with Ginkgo Biloba, Gotu Kola, Lion’s Mane Mushroom, MCT Caffeine-Free for Mental Clarity (30 Sachets)",Focus,27.6900,6.5700,,4.2000,,0.15,True,19.3400,12.7700,194.37 %,46.12 %,0,12.67,0,0,0,0,0,1,0,943,,0,5,0,1.650,5.980,9.690,0.1301,,,,,
B0CM5TTBMB,B0CM5TTBMB,AA-GE6P-8X5W,"Deep Sleep Elixir Organic Chamomile, Valerian, Lavender, Passionflower, Lemon Balm (Deep Sleep Elixir)",,,,,,,,False,,,,,,,0,0,0,0,0,,0,0,,,,,6.060,1.060,9.530,2.1000,,,,,
B0FD2NHYT2,B0CRZRHT7R,BT-SI-YM-ORG-HC-TB-50-01,"Yerba Mate Tea Organic - Brain Tea Organic Yerba Mate Tea bags 50 count - Native Rainforest Sourced, Unsmoked & Air-Dried, High Caffeine Matte Tea for Detox & Focus Boost - 100g",Mate Tea bags,19.4300,7.3100,,5.0400,,0.15,True,11.4800,4.1700,57.05 %,21.46 %,0,14.53,0,0,0,0,0,0,0,628,1,1275,90,0,1.970,6.890,10.830,0.2403,,,,,
B0FD2NHYT2,B0DKTK9WKM,BT-SI-YM-ORG-HC-LL-500G-03,"Yerba Mate Tea Organic 17.64 0z (500g) Loose Leaf - Brain Tea, Hi-Caffeine Native Rainforest, Unsmoked & Air-Dried, Focus Boost, Pure Leaf, Never Aged (Ilex Paraguariensis)",Mate500g,22.1900,,,5.0400,,0.15,False,13.8200,13.8200,0.00 %,62.28 %,0,5.93,0,0,0,0,0,,0,0,,,90,0,3.190,5.240,10.160,1.2105,,,,,
B0FD2NHYT2,B0DKTQGWSQ,BT-SI-YM-ORG-HC-LL-250G-03,"Yerba Mate Tea Organic 8.82 oz (250g) Loose Leaf - Brain Tea, Hi-Caffeine Native Rainforest, Unsmoked & Air-Dried, Focus Boost, Pure Leaf, Never Aged (Ilex Paraguariensis)",Mate250g,18.9700,,,4.6000,,0.15,False,11.5200,11.5200,0.00 %,60.73 %,0,5.41,0,0,0,0,0,,0,0,,,90,0,3.110,5.310,8.430,0.6395,,,,,
